ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
700641,Photo,Speckled Mousebird,Colius striatus,,Stefan Helming,,,,,,Ethiopia,ET-AA,Addis Ababa,,"Addis Ababa (9.0329, 38.7467)",9.0329000,38.7467000,Unknown – 1,"",Unspecified,"","",,IBC938501,,,,,,"",,,"A bird in a tree. very common charming bird in the city. IBC scientific name: Colius striatus leucotis. Elevation: 2438 m. Date added to IBC: June 21, 2016.",,Colius striatus,spemou2,Species,,,4.29,7,"",1664,2496
700643,Photo,Rusty-margined Flycatcher,Myiozetetes cayanensis,,Mikko Pyhälä,,,,,,Venezuela,VE-A,Distrito Capital,,"Caracas (10.4905, -66.8964)",10.4905000,-66.8964000,Adult – 1,"",Unspecified,"","",,IBC938642,,,,,,"",,,"Adult perched in a tree. This bird breeds in my garden. Note small bill and that the white eye-lines do not meet in the napePhoto taken in 2008.This bird breeds in my garden. Note small bill and that the white eye-lines do not meet in the nape. IBC scientific name: Myiozetetes cayanensis rufipennis. Elevation: 911 m. Date added to IBC: June 21, 2016.",,Myiozetetes cayanensis,rumfly1,Species,,,3.57,7,"",979,1279
700644,Photo,Shiny Cowbird,Molothrus bonariensis,,Phil Gunson,,,,,,Venezuela,VE-A,Distrito Capital,,"Caracas (10.4905, -66.8964)",10.4905000,-66.8964000,"",Foraging or Eating,Unspecified,"","",,IBC938783,,,,,,"",,,"Side view of a female foraging in grass. IBC scientific name: Molothrus bonariensis venezuelensis. Elevation: 911 m. Date added to IBC: June 21, 2016.",,Molothrus bonariensis,shicow,Species,,,3.33,6,"",727,1091
700646,Photo,Eurasian Blue Tit,Cyanistes caeruleus,,Mark Gurney,,,,,,United Kingdom,GB-ENG-BDF,England,Bedfordshire,Bedfordshire,52.0060000,-0.4395000,"",Foraging or Eating,Unspecified,"","",,IBC939497,,,,,,"",,,"Two birds on a branch near a feeder. IBC scientific name: Cyanistes caeruleus obscurus. Elevation: 75 m. Date added to IBC: June 21, 2016.",,Cyanistes caeruleus,blutit,Species,,,4.29,7,"",600,900
700650,Photo,Turkey Vulture (South Temperate),Cathartes aura jota,,Laurent Demongin,,,,,,Falkland Islands (Malvinas),FK-,Falkland Islands (Malvinas),,New Island,-51.7379484,-61.3070260,"","",Unspecified,"","",,IBC940152,,,,,,"",,,"An adult perching on a rock. Original IBC location name and coordinates: New Island (-51.7041,-61.2927). Elevation: 49 m. Date added to IBC: June 21, 2016.",,Cathartes aura,turvul3,Group,,,3.71,7,"",1536,2048
700652,Photo,Great Bittern,Botaurus stellaris,,Laurent Demongin,,,,,,Belarus,BY-,Belarus,,Belarus,53.5158701,28.0515358,"","",Unspecified,"","",,IBC940256,,,,,,"",,,"Close-up of a male adult showing the typical blue part of a breeding male, and the dark orange eye of an old adult (Pripiat.....region)The birds were caught during a national scientific study (Institute of Zoology of Minsk, Academy of Sciences). IBC scientific name: Botaurus stellaris stellaris. Original IBC location name and coordinates: Belarus (53.7487,28.1689). Elevation: 166 m. Date added to IBC: June 21, 2016.",,Botaurus stellaris,grebit1,Species,,,3.67,6,"",1536,2048
700653,Photo,Great Bittern,Botaurus stellaris,,Laurent Demongin,,,,,,Belarus,BY-,Belarus,,Belarus,53.5158701,28.0515358,"","",Unspecified,"","",,IBC940258,,,,,,"",,,"Details of the head of a fullgrown chick, showing the typical olive-yellow color of the eye (Pripiat region). The birds were caught during a national scientific study (Institute of Zoology of Minsk, Academy of Sciences). IBC scientific name: Botaurus stellaris stellaris. Original IBC location name and coordinates: Belarus (53.7487,28.1689). Elevation: 166 m. Date added to IBC: June 21, 2016.",,Botaurus stellaris,grebit1,Species,,,3.67,6,"",1536,2048
700655,Photo,Tree Pipit,Anthus trivialis,,Laurent Demongin,,,,,,Belarus,BY-,Belarus,,Belarus,53.5158701,28.0515358,Unknown – 1,Vocalizing,Unspecified,"","",,IBC940309,,,,,,"",,,"A bird singing. IBC scientific name: Anthus trivialis trivialis. Original IBC location name and coordinates: Belarus (53.7487,28.1689). Elevation: 166 m. Date added to IBC: June 21, 2016.",,Anthus trivialis,trepip,Species,,,3.50,6,"",787,1042
700657,Photo,Masked Booby,Sula dactylatra,,Laurent Demongin,,,,,,"Saint Helena, Ascension, and Tristan da Cunha",SH-AC,Ascension,,"Ascension Island (-7.9389, -14.3715)",-7.9389000,-14.3715000,"","",Unspecified,"","",,IBC940366,,,,,,"",,,"A big pullus begging for food toward an adult in a field of lave. IBC scientific name: Sula dactylatra dactylatra. Elevation: 214 m. Date added to IBC: June 21, 2016.",,Sula dactylatra,masboo,Species,,,4.00,7,"",1536,2048
700658,Photo,Blue-capped Motmot,Momotus coeruliceps,,Alberto Lobato (El Chivizcoyo),,,,,,Mexico,MX-VER-201,Veracruz,Xalapa,"Xalapa (19.5766, -96.9145)",19.5766000,-96.9145000,"","",Unspecified,"","",,IBC940438,,,,,,"",,,"A bird perched looking at me. Elevation: 1399 m. Date added to IBC: June 21, 2016.",,Momotus coeruliceps,bucmot1,Species,,,3.17,6,"",448,286
700659,Photo,Brown Jay,Psilorhinus morio,,Alberto Lobato (El Chivizcoyo),,,,,,Mexico,MX-VER-201,Veracruz,Xalapa,"Xalapa (19.5766, -96.9145)",19.5766000,-96.9145000,"","",Unspecified,"","",,IBC940440,,,,,,"",,,"An immature specimen perched on branch. Subspecies fuliginosus. IBC scientific name: Cyanocorax morio. Elevation: 1399 m. Date added to IBC: June 21, 2016.",,Psilorhinus morio,brnjay,Species,,,1.67,6,"",378,336
700660,Photo,Cape Starling,Lamprotornis nitens,,Laurent Demongin,,,,,,Zimbabwe,ZW-MN,Matabeleland North,,"Hwange National Park (-19.1448, 26.9852)",-19.1448000,26.9852000,"","",Unspecified,"","",,IBC940545,,,,,,"",,,"Several birds gathering for drinking. Elevation: 1020 m. Date added to IBC: June 21, 2016.",,Lamprotornis nitens,capgls1,Species,,,3.33,6,"",732,1084
700662,Photo,Rose-breasted Grosbeak,Pheucticus ludovicianus,,Alberto Lobato (El Chivizcoyo),,,,,,Mexico,MX-VER-201,Veracruz,Xalapa,"Xalapa (19.5766, -96.9145)",19.5766000,-96.9145000,Juvenile Male – 1,"",Unspecified,"","",,IBC940622,,,,,,"",,,"A juvenile male feeding. Elevation: 1399 m. Date added to IBC: June 21, 2016.",,Pheucticus ludovicianus,robgro,Species,,,2.60,5,"",336,386
700663,Photo,Great Crested Flycatcher,Myiarchus crinitus,,Alberto Lobato (El Chivizcoyo),,,,,,Mexico,MX-VER-201,Veracruz,Xalapa,"Xalapa (19.5766, -96.9145)",19.5766000,-96.9145000,"","",Unspecified,"","",,IBC940651,,,,,,"",,,"A back view of the bird. Elevation: 1399 m. Date added to IBC: June 21, 2016.",,Myiarchus crinitus,grcfly,Species,,,2.60,5,"",314,224
700666,Photo,King Penguin,Aptenodytes patagonicus,,Laurent Demongin,,,,,,South Georgia and South Sandwich Islands,GS-,South Georgia and South Sandwich Islands,,"St Andrews Bay (-54.4389, -36.1505)",-54.4389000,-36.1505000,"","",Unspecified,"","",,IBC940933,,,,,,"",,,"Close-up of adult laying on a beach. IBC scientific name: Aptenodytes patagonicus patagonicus. Elevation: 0 m. Date added to IBC: June 21, 2016.",,Aptenodytes patagonicus,kinpen1,Species,,,5.00,8,"",2176,3264
700880,Photo,Black-tailed Gnatcatcher,Polioptila melanura,,Conan Guard,,,,,,United States,US-CA,California,,California,37.2690400,-119.2579600,"","",Unspecified,"","",,IBC943221,,,,,,"",,,"Male bringing food to the nest. Anza-Borrego Desert State Park, CA, USA. IBC scientific name: Polioptila melanura lucida. Original IBC location name and coordinates: California (37.2303,-119.927). Elevation: 306 m. Date added to IBC: June 21, 2016.",,Polioptila melanura,bktgna,Species,,,4.20,5,Nest,1906,2327
700909,Photo,Red-naped Ibis,Pseudibis papillosa,,Tadeusz Stawarczyk,,,,,,India,IN-GJ-JA,Gujarat,Jamnagar,"Jamnagar District (22.4783, 70.0529)",22.4783000,70.0529000,"",Foraging or Eating,Unspecified,"","",,IBC943574,,,,,,"",,,"Two bird feeding on a ground. Elevation: 18 m. Date added to IBC: June 21, 2016.",,Pseudibis papillosa,renibi1,Species,,,2.60,5,"",557,800
700911,Photo,Scaled Piculet,Picumnus squamulatus,,Karla Perez Leon,,,,,,Venezuela,VE-V,Zulia,,Zulia State,9.9472000,-72.4960000,"","",Unspecified,"","",,IBC943674,,,,,,"",,,"Non digital picture. Photo taken in 2002. Elevation: 80 m. Date added to IBC: June 21, 2016.",,Picumnus squamulatus,scapic1,Species,,,2.60,5,"",406,633
700912,Photo,White-lined Tanager,Tachyphonus rufus,,Karla Perez Leon,,,,,,Venezuela,VE-I,Falcón,,"Sierra San Luis (11.2404, -69.5448)",11.2404000,-69.5448000,"","",Unspecified,"","",,IBC943675,,,,,,"",,,"Dry area around Acarigua in Sierra San Luis. Elevation: 935 m. Date added to IBC: June 21, 2016.",,Tachyphonus rufus,whltan1,Species,,,4.20,5,"",533,800
700913,Photo,Cape Teal,Anas capensis,,Megan Perkins,,,,,,South Africa,ZA-WC,Western Cape,,Paarl Bird Sanctuary,-33.6858356,18.9811134,"","",Unspecified,"","",,IBC943818,,,,,,"",,,"A pair bathing and preening. Taken at Paarl sewage works. Original IBC location name and coordinates: Paarl Bird Sanctuary (-33.687,18.98). Elevation: 93 m. Date added to IBC: June 21, 2016.",,Anas capensis,captea1,Species,,,5.00,7,"",575,850
700917,Photo,Akohekohe,Palmeria dolei,,Valerie Gebert,,,,,,United States,US-HI-009,Hawaii,Maui,Maui,20.8113000,-156.3310000,"","",Unspecified,"","",,IBC943929,,,,,,"",,,"A bird defending territory in Hosmer's Grove on the the side of Haleakela Volcano. Elevation: 595 m. Date added to IBC: June 21, 2016.",,Palmeria dolei,crehon,Species,,,3.17,6,"",1111,1631
700918,Photo,Akohekohe,Palmeria dolei,,Valerie Gebert,,,,,,United States,US-HI-009,Hawaii,Maui,Maui,20.8113000,-156.3310000,"","",Unspecified,"","",,IBC943931,,,,,,"",,,"Bird in Hosmer's Grove - Maui. Elevation: 595 m. Date added to IBC: June 21, 2016.",,Palmeria dolei,crehon,Species,,,3.33,6,"",1037,1399
700983,Photo,Cape Batis (Cape),Batis capensis capensis,,Conan Guard,,,,,,South Africa,ZA-WC,Western Cape,,Wildcliff Nature Reserve,-33.9600000,21.0414000,"",Foraging or Eating,Unspecified,"","",,IBC944996,,,,,,"",,,"Adult male foraging through understory. Elevation: 412 m. Date added to IBC: June 21, 2016.",,Batis capensis,capbat4,Group,,,3.17,6,"",1306,1111
701054,Photo,Blue-capped Rock-Thrush,Monticola cinclorhyncha,,Subramanya C K,,,,,,India,IN-KA,Karnataka,,Karnataka,14.6930171,76.1670177,"","",Unspecified,"","",,IBC945344,,,,,,"",,,"Bhadra Tiger Reserve, Muthodi Range. Original IBC location name and coordinates: Karnataka (14.8067,75.7068). Elevation: 534 m. Date added to IBC: June 21, 2016.",,Monticola cinclorhyncha,bcrthr1,Species,,,4.00,6,"",800,700
701077,Photo,Blue-winged Teal,Spatula discors,,Blair Wainman,,,,,,Colombia,CO-DC,Distrito Capital de Bogotá,,"Bogotá (4.6243, -74.0849)",4.6243000,-74.0849000,"","",Unspecified,"","",,IBC945664,,,,,,"",,,"Male & Female - swimming on a lagoon in a wetland reserve. Elevation: 2569 m. Date added to IBC: June 21, 2016.",,Spatula discors,buwtea,Species,,,3.86,7,"",768,1024
701079,Photo,Galapagos Penguin,Spheniscus mendiculus,,Yvonne Stevens,,,,,,Ecuador,EC-W,Galápagos,,Bartolomé Island,-0.2832000,-90.5481000,"","",Unspecified,"","",,IBC945775,,,,,,"",,,"Parents with chick. Elevation: 44 m. Date added to IBC: June 21, 2016.",,Spheniscus mendiculus,galpen1,Species,,,4.20,5,"",1142,1717
701080,Photo,Western Red-billed Hornbill,Tockus kempi,,Alain Fossé,,,,,,Senegal,SN-TH,Thiès,,"Saly (14.4493, -17.0123)",14.4493000,-17.0123000,"","",Unspecified,"","",,IBC945836,,,,,,"",,,"Adult female (no black at the base of the bill) Western Red-billed Hornbill (Tockus (erythrorhynchus) kempi). Taken at hotel Teranga, 14° 26' 33"" N, 017° 01' 13"" W. Other pictures on http://www.digimages.info/calkem/calkem.htm. IBC scientific name: Tockus erythrorhynchus kempi. Elevation: 10 m. Date added to IBC: June 21, 2016.",,Tockus kempi,wrbhor2,Species,,,4.14,7,"",600,800
701081,Photo,Green-rumped Parrotlet,Forpus passerinus,,Phil Gunson,,,,,,Venezuela,VE-A,Distrito Capital,,"Caracas (10.4905, -66.8964)",10.4905000,-66.8964000,Female – 1,Foraging or Eating,Unspecified,"","",,IBC945924,,,,,,"",,,"A female feeding. Note the yellow lores and forecrown. IBC scientific name: Forpus passerinus viridissimus. Elevation: 911 m. Date added to IBC: June 21, 2016.",,Forpus passerinus,grrpar1,Species,,,3.40,5,"",640,439
701083,Photo,Zone-tailed Hawk,Buteo albonotatus,,Phil Gunson,,,,,,Venezuela,VE-A,Distrito Capital,,"Caracas (10.4905, -66.8964)",10.4905000,-66.8964000,"",Flying,Unspecified,"","",,IBC946511,,,,,,"",,,"Front view of immature bird in flight. Elevation: 911 m. Date added to IBC: June 21, 2016.",,Buteo albonotatus,zothaw,Species,,,3.40,5,"",475,640
701084,Photo,Yellow Warbler (Mangrove),Setophaga petechia [erithachorides Group],,Karla Perez Leon,,,,,,Venezuela,VE-I,Falcón,,"Paraguaná Peninsula (11.8862, -70.0269)",11.8862000,-70.0269000,Adult Male – 1,"",Unspecified,"","",,IBC946566,,,,,,"",,,"Male. IBC scientific name: Setophaga petechia paraguanae. Elevation: 90 m. Date added to IBC: June 21, 2016.",,Setophaga petechia,maywar1,Group,,,3.40,5,"",534,800
