Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S130621207,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,30,US-TX,Aransas,L1096078,Goose Island SP--Big Tree/Lamar Beach rd area,28.1497681,-96.976254,2023-03-10,03:48 PM,eBird - Traveling Count,26,1,.45,,2
S130598264,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,1,US-TX,Bexar,L2467071,Brackenridge Park (HOTE 095),29.4590115,-98.4716392,2023-03-10,10:49 AM,eBird - Traveling Count,98,1,2.,,2
S130714648,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,3,US-TX,Cameron,L283726,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),26.1400912,-97.1748233,2023-03-11,03:27 PM,eBird - Traveling Count,54,1,2.21,,2
S130876023,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,2,US-TX,Hidalgo,L128890,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),26.1849709,-98.3793885,2023-03-13,07:46 AM,eBird - Traveling Count,106,1,4.86,,2
S130876184,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,10,US-TX,Hidalgo,L259855,Estero Llano Grande SP WBC (LTC 054),26.1268335,-97.9578167,2023-03-12,01:50 PM,eBird - Traveling Count,303,1,6.13,,2
S130876134,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,2,US-TX,Hidalgo,L129085,Santa Ana NWR (LTC 059),26.0813003,-98.1351399,2023-03-12,07:48 AM,eBird - Traveling Count,148,1,3.56,,2
S126260686,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,300,US-FL,Orange,L452007,Orlando Wetlands Park,28.5700783,-80.9963373,2023-01-15,01:19 PM,eBird - Traveling Count,256,1,4.575,,3,,,"Tristan was awake so he could be added as an observer. Sergey ended off the day with ""let's go,"" but continued to search for Sedge Wren for another 15 minutes.",526913621 526913631 526913641 526913651 527965261
S146449271,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,8,US-TX,Travis,L130766,Hornsby Bend (HOTE 037),30.2181988,-97.6458054,2023-08-03,04:20 PM,eBird - Traveling Count,77,1,3.06,,1,,Very cute,,601262591
S146557210,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,2,US-TX,Travis,L130766,Hornsby Bend (HOTE 037),30.2181988,-97.6458054,2023-08-05,12:13 PM,eBird - Traveling Count,55,1,3.24,,1,,,,601264411
S130876134,Fulvous Whistling-Duck,Dendrocygna bicolor,235,1,US-TX,Hidalgo,L129085,Santa Ana NWR (LTC 059),26.0813003,-98.1351399,2023-03-12,07:48 AM,eBird - Traveling Count,148,1,3.56,,2,,,,547487031
S124339273,Snow Goose,Anser caerulescens,252,50,US-CA,Imperial,L385867,Salton Sea NWR--Unit 1 (no public access north of observation deck),33.0826963,-115.7097244,2022-12-20,04:31 PM,eBird - Traveling Count,20,0,.322,,4
S124344681,Snow Goose,Anser caerulescens,252,400,US-CA,Imperial,L465122,Sonny Bono Salton Sea NWR--Rock Hill Trail,33.1788315,-115.6226921,2022-12-20,12:02 PM,eBird - Traveling Count,65,1,1.287,,4
S124344738,Snow Goose,Anser caerulescens,252,400,US-CA,Imperial,L986378,Sonny Bono Salton Sea NWR--Vendel Rd.,33.0757606,-115.7096225,2022-12-20,03:35 PM,eBird - Traveling Count,55,1,4.828,,4
